id,title,description,availability,condition,price,link,image_link,brand,google_product_category,custom_label_0
"ceiling-fans_zipsy_titan","ZIPSY Titan - Ceiling Fans","Highest air delivery. Double ball bearing. Aerodynamic design. Superior paint finish | Colors: Smoke Brown, Ivory, Brown | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/titan","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/titan-smoke-brown.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"ceiling-fans_zipsy_glory","ZIPSY Glory - Ceiling Fans","405 RPM. Optimum air delivery even at low voltage. Long lasting paint finish | Colors: Cherry Red | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/glory","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/glory.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"ceiling-fans_zipsy_bounce","ZIPSY Bounce - Ceiling Fans","Contemporary aero blades. Low wattage consumption. Smooth silent run | Colors: White, Beige, Copper, Sky Blue, Bronze | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/bounce","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/bounce.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"ceiling-fans_zipsy_zoro","ZIPSY Zoro - Ceiling Fans","Metallic antique coating. Heavy duty copper motor. Wobble-free balance | Colors: Gold, White, Grey, Bronze | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/zoro","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/zoro.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"ceiling-fans_zipsy_wonder","ZIPSY Wonder - Ceiling Fans","Hi-speed airflow. Rust proof powder coating. Dynamic blade pitch | Colors: Brown, White, Ivory | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/wonder","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/wonder.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"ceiling-fans_zipsy_intex-designer-sona","ZIPSY Intex Designer (Sona) - Ceiling Fans","850 RPM / Hi-Speed. Dust Free Technology. Noiseless Operation. 100% Super Enamelled Copper Winding. Power Saver Motor. Aerodynamically balanced blades | Colors: Boumvita, Chandi, Poly | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/ceiling-fans/intex-designer-sona","https://jaibabaelectronic.vercel.app/assets/images/ceiling-fans/intex-designer.jpg","ZIPSY","Home & Garden > Household Appliances","Ceiling Fans"
"hot-plates_prestige_cooktop-2-burner","Prestige Cooktop 2 Burner - Electric Hot Plates","2 burner design. Fast heating coils. Good for homes and small shops | Colors: Black, Silver | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/hot-plates/cooktop-2-burner","https://jaibabaelectronic.vercel.app/og-image.png","Prestige","Home & Garden > Household Appliances","Electric Hot Plates"
"mixers_bajaj_mx-200","Bajaj MX-200 - Mixers","High speed motor. Easy grip handle. Ideal for daily use | Colors: White, Red | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/mixers/mx-200","https://jaibabaelectronic.vercel.app/og-image.png","Bajaj","Home & Garden > Household Appliances","Mixers"
"torches_eveready_led-torch","Eveready LED Torch - Torches","Long battery life. Water resistant body. Portable design | Colors: Black, Yellow | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/torches/led-torch","https://jaibabaelectronic.vercel.app/og-image.png","Eveready","Home & Garden > Household Appliances","Torches"
"geysers_crompton_rapid-jet-3l","Crompton Rapid Jet 3L - Geysers","3000W Heavy-Duty Nickel-Coated Copper Heating Element. 3 Litres Capacity — Instant 33% Faster Heating. 6.5 Bar Pressure Rating — Suitable for High-Rise Buildings. High-Grade 304L Stainless Steel Tank (Rust & Scale Proof). 4-Level Advanced Safety Shield (Capillary Thermostat & Auto Thermal Cut-off). High-Density PUF Insulation for Maximum Heat Retention. Anti-Siphon Protection against Dry Heating Damage. Smart Bi-Color LED Indicators for Power & Heating | Colors: White | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/geysers/rapid-jet-3l","https://jaibabaelectronic.vercel.app/assets/images/geysers/crompton-rapid-jet-3l.png","Crompton","Home & Garden > Household Appliances","Geysers"
